# POPULATION CHANGE DATA PROVIDED BY U.S. CENSUS.,,,,,,,,,,,,,,,,,,,,,,
# CHANGE EXPRESSED AS PERCENTAGE (0-100).,,,,,,,,,,,,,,,,,,,,,,
STATE_OR_REGION,1910_POPULATION,1920_POPULATION,1930_POPULATION,1940_POPULATION,1950_POPULATION,1960_POPULATION,1970_POPULATION,1980_POPULATION,1990_POPULATION,2000_POPULATION,2010_POPULATION,1910_CHANGE,1920_CHANGE,1930_CHANGE,1940_CHANGE,1950_CHANGE,1960_CHANGE,1970_CHANGE,1980_CHANGE,1990_CHANGE,2000_CHANGE,2010_CHANGE
United States,92228531,106021568,123202660,132165129,151325798,179323175,203211926,226545805,248709873,281421906,308745538,21,15,16.2,7.3,14.5,18.5,13.3,11.5,9.8,13.2,9.7
Northeast,25868573,29662053,34427091,35976777,39477986,44677819,49040703,49135283,50809229,53594378,55317240,22.9,14.7,16.1,4.5,9.7,13.2,9.8,0.2,3.4,5.5,3.2
Midwest,29888542,34019792,38594100,40143332,44460762,51619139,56571663,58865670,59668632,64392776,66927001,13.5,13.8,13.4,4,10.8,16.1,9.6,4.1,1.4,7.9,3.9
South,29389330,33125803,37857633,41665901,47197088,54973113,62795367,75372362,85445930,100236820,114555744,19.8,12.7,14.3,10.1,13.3,16.5,14.2,20,13.4,17.3,14.3
West,7082086,9213920,12323836,14379119,20189962,28053104,34804193,43172490,52786082,63197932,71945553,64.4,30.1,33.8,16.7,40.4,38.9,24.1,24,22.3,19.7,13.8
Alabama,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4779736,16.9,9.8,12.7,7.1,8.1,6.7,5.4,13.1,3.8,10.1,7.5
Alaska,64356,55036,59278,72524,128643,226167,300382,401851,550043,626932,710231,1.2,-14.5,7.7,22.3,77.4,75.8,32.8,33.8,36.9,14,13.3
Arizona,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,6392017,66.2,63.5,30.3,14.6,50.1,73.7,36,53.5,34.8,40,24.6
Arkansas,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2915918,20,11.3,5.8,5.1,-2,-6.5,7.7,18.9,2.8,13.7,9.1
California,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,37253956,60.1,44.1,65.7,21.7,53.3,48.5,27,18.6,25.7,13.8,10
Colorado,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,5029196,48,17.6,10.2,8.4,18,32.4,25.8,30.9,14,30.6,16.9
Connecticut,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3574097,22.7,23.9,16.4,6.4,17.4,26.3,19.6,2.5,5.8,3.6,4.9
Delaware,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,897934,9.5,10.2,6.9,11.8,19.4,40.3,22.8,8.4,12.1,17.6,14.6
District of Columbia,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,601723,18.8,32.2,11.3,36.2,21,-4.8,-1,-15.6,-4.9,-5.7,5.2
Florida,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,18801310,42.4,28.7,51.6,29.2,46.1,78.7,37.1,43.6,32.7,23.5,17.6
Georgia,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,9687653,17.7,11,0.4,7.4,10.3,14.5,16.4,19,18.6,26.4,18.3
Hawaii,191909,255912,368336,423330,499794,632772,768561,964691,1108229,1211537,1360301,24.6,33.4,43.9,14.9,18.1,26.6,21.5,25.5,14.9,9.3,12.3
Idaho,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1567582,101.3,32.6,3,17.9,12.1,13.3,6.8,32.5,6.7,28.5,21.1
Illinois,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12830632,16.9,15,17.7,3.5,10.3,15.7,10.2,2.8,0,8.6,3.3
Indiana,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6483802,7.3,8.5,10.5,5.8,14.8,18.5,11.4,5.7,1,9.7,6.6
Iowa,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,3046355,-0.3,8.1,2.8,2.7,3.3,5.2,2.4,3.2,-4.7,5.4,4.1
Kansas,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2853118,15,4.6,6.3,-4.3,5.8,14.3,3.1,5.2,4.8,8.5,6.1
