"Name","Title","version"
"assertive.reflection","Assertions for Checking the State of R [@R-assertive.reflection]","0.0.4"
"benchmarkme","Crowd Sourced System Benchmarks [@R-benchmarkme]","1.0.3"
"bookdown","Authoring Books and Technical Documents with R Markdown [@R-bookdown]","0.18"
"cranlogs","Download Logs from the 'RStudio' 'CRAN' Mirror [@R-cranlogs]","2.1.1"
"data.table","Extension of `data.frame` [@R-data.table]","1.12.8"
"dbplyr","A 'dplyr' Back End for Databases [@R-dbplyr]","1.4.3"
"devtools","Tools to Make Developing R Packages Easier [@R-devtools]","2.3.0"
"DiagrammeR","Graph/Network Visualization [@R-DiagrammeR]","1.0.5"
"dplyr","A Grammar of Data Manipulation [@R-dplyr]","0.8.5"
"drat","'Drat' R Archive Template [@R-drat]","0.1.5"
"efficient","Becoming an Efficient R Programmer [@R-efficient]","0.1.3"
"feather","R Bindings to the Feather 'API' [@R-feather]","0.3.5"
"formatR","Format R Code Automatically [@R-formatR]","1.7"
"fortunes","R Fortunes [@R-fortunes]","1.5.4"
"geosphere","Spherical Trigonometry [@R-geosphere]","1.5.10"
"ggmap","Spatial Visualization with ggplot2 [@R-ggmap]","3.0.0"
"ggplot2","Create Elegant Data Visualisations Using the Grammar of Graphics [@R-ggplot2]","3.3.0"
"ggplot2movies","Movies Data [@R-ggplot2movies]","0.0.1"
"knitr","A General-Purpose Package for Dynamic Report Generation in R [@R-knitr]","1.28"
"lubridate","Make Dealing with Dates a Little Easier [@R-lubridate]","1.7.8"
"maps","Draw Geographical Maps [@R-maps]","3.3.0"
"microbenchmark","Accurate Timing Functions [@R-microbenchmark]","1.4.7"
"profvis","Interactive Visualizations for Profiling R Code [@R-profvis]","0.3.6"
"pryr","Tools for Computing on the Language [@R-pryr]","0.1.4"
"Rcpp","Seamless R and C++ Integration [@R-Rcpp]","1.0.4.6"
"readr","Read Rectangular Text Data [@R-readr]","1.3.1"
"reticulate","Interface to 'Python' [@R-reticulate]","1.15"
"rio","A Swiss-Army Knife for Data I/O [@R-rio]","0.5.16"
"RSQLite","'SQLite' Interface for R [@R-RSQLite]","2.2.0"
"swirl","Learn R, in R [@R-swirl]","2.4.5"
"tibble","Simple Data Frames [@R-tibble]","3.0.1"
"tidyr","Tidy Messy Data [@R-tidyr]","1.0.2"
