religion,<$10k,$10--20k,$20--30k,$30--40k,$40--50k,$50--75k,$75--100k,$100--150k,>150k
Agnostic,27,34,60,81,76,137,122,109,84
Atheist,12,27,37,52,35,70,73,59,74
Buddhist,27,21,30,34,33,58,62,39,53
Catholic,418,617,732,670,638,1116,949,792,633
Don’t know/refused (no information on religious affiliation),15,14,15,11,10,35,21,17,18
Evangelical Protestant Churches,575,869,1064,982,881,1486,949,723,414
Hindu,1,9,7,9,11,34,47,48,54
Historically Black Protestant Churches,228,244,236,238,197,223,131,81,78
Jehovah's Witness,20,27,24,24,21,30,15,11,6
Jewish,19,19,25,25,30,95,69,87,151
Mainline Protestant Churches,289,495,619,655,651,1107,939,753,634
Mormon,29,40,48,51,56,112,85,49,42
Muslim,6,7,9,10,9,23,16,8,6
Orthodox,13,17,23,32,32,47,38,42,46
Other Christian,9,7,11,13,13,14,18,14,12
Other Faiths,20,33,40,46,49,63,46,40,41
Other World Religions,5,2,3,4,2,7,3,4,4
Unaffiliated,217,299,374,365,341,528,407,321,258
